Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Weather Condition,Energy (j)
5.31133604,416.3289078,259.9949036,Rainy,380.0477905
5.672166824,519.9175111,268.6411133,Sunny,453.7691956
5.216036797,390.9000158,272.5647888,Windy,306.3765869
5.659674168,516.127569,271.2580872,Cloudy,419.6459045
5.577940941,491.702972,265.6742859,Rainy,380.6506958
5.604052067,499.436385,264.5786133,Rainy,402.3919983
5.793007851,557.3723633,266.1636047,Sunny,447.6057129
5.306049824,414.8981788,257.9494934,Sunny,387.2421875
5.584629059,493.6776521,253.4806976,Windy,463.6512146
5.523228168,475.7067828,258.7237854,Cloudy,439.725708
5.724115849,535.841397,251.8509979,Rainy,498.1817017
5.934198856,603.0140765,265.5046997,Rainy,526.8162231
6.547413826,824.6625136,274.2329102,Sunny,710.5872803
6.199746132,693.4726411,266.7331848,Windy,655.1942749
6.505383015,808.0981385,266.7604065,Cloudy,754.7625122
6.634116173,859.4590208,270.4931946,Sunny,790.1732788
6.378912926,759.4345366,266.5932922,Windy,742.9852905
6.446652889,785.2810099,265.5718079,Cloudy,748.2296143
6.415082932,773.1728635,261.1586914,Rainy,736.6478271
6.437530994,781.7712157,257.5602112,Rainy,787.2462158
6.220024109,700.7646999,255.9264984,Sunny,722.8640747
6.89802599,970.7366269,250.0128937,Windy,935.0333862
7.60971117,1315.048928,255.9857025,Cloudy,1220.609009
7.288355827,1151.265744,255.4445953,Rainy,1053.771973
7.943101883,1497.583724,256.4074097,Rainy,1493.807983
8.376161575,1752.199662,252.4125977,Cloudy,1724.488037
8.23695755,1668.470707,247.9794006,Rainy,1636.935059
7.879590988,1461.815791,238.6096039,Cloudy,1385.488037
7.101376057,1062.285034,245.0955963,Windy,1098.932007
6.955307007,995.9958546,245.410202,Rainy,1021.458008
7.098298073,1060.859712,235.2279053,Sunny,1164.892944
6.953630924,995.2509608,242.8726959,Windy,1073.332031
7.249577999,1132.416861,244.8356934,Cloudy,1165.307983
7.294691086,1154.365305,242.4815979,Windy,1177.98999
7.376369953,1194.843099,247.9772034,Rainy,1170.536011
7.448554039,1231.430706,249.6829987,Sunny,1145.536011
7.23925209,1127.433206,248.401001,Windy,1114.026978
7.329211235,1171.355044,244.6217041,Cloudy,1153.185059
7.139705181,1080.139085,244.6318054,Rainy,1125.331055
7.474228859,1244.633534,245.7859955,Sunny,1228.732056
7.033174038,1030.992686,248.6522064,Windy,1021.79303
6.886455059,965.6833344,244.6116943,Cloudy,957.3781738
6.887821198,966.2791049,235.8482971,Rainy,909.8878174
7.216432095,1116.471899,232.8426971,Rainy,1000.953979
7.068597794,1047.170231,229.933197,Sunny,1024.478027
6.938295841,988.4519407,230.1367035,Sunny,1009.533997
6.536687851,820.4166586,234.9338074,Windy,899.492981
6.180624962,686.6369422,232.8379059,Cloudy,725.1101074
5.816825867,564.9276595,240.3287964,Rainy,585.2593994
5.450150967,454.7735871,238.126297,Rainy,443.9139099
5.81814909,565.3490932,235.800293,Sunny,565.2537842
6.130272865,668.8235693,224.9586945,Windy,644.0377808
6.347077847,747.4606734,216.803894,Cloudy,712.0588989
6.347436905,747.5951091,205.7852936,Sunny,737.3947754
6.194368839,691.5463343,199.8484955,Windy,725.868103
4.977198124,330.4176304,207.9978027,Cloudy,408.997406
5.959111214,611.2838365,210.954895,Rainy,628.4368286
6.21137619,697.6494744,215.6940002,Rainy,716.1005859
6.111453056,662.235163,220.8426056,Sunny,711.4956055
6.456322193,789.0114224,237.0653076,Windy,838.1519165
6.666657925,872.7396259,235.6674957,Cloudy,881.0620728
6.16287899,680.3278917,229.3296967,Rainy,663.703125
6.013167858,628.4425608,234.9006042,Rainy,578.2615967
5.561203003,486.7795676,230.4228058,Cloudy,465.6200867
4.960731983,326.4110254,229.5375061,Rainy,311.0509033
4.60387516,244.3162442,231.7984924,Cloudy,230.0554962
4.554533958,233.6327805,234.1056061,Windy,233.9906006
4.26362896,173.5736631,228.7767029,Rainy,175.5921936
3.894139051,108.5712211,227.9389954,Sunny,118.1331024
4.038761139,130.2299896,224.4649963,Windy,142.2024994
4.505650997,223.1967841,224.9505005,Cloudy,212.5661926
4.543397903,231.2425073,229.127594,Windy,222.6100006
4.323760986,185.5984796,227.0399933,Rainy,194.1811981
3.634437084,68.5028198,230.3146057,Sunny,82.64074707
3.705512047,78.39616535,233.9532928,Windy,75.8952179
3.253968,29.28695563,233.0659027,Cloudy,41.94723892
3.775136948,88.87136533,227.7534943,Sunny,118.5345993
4.693500996,264.1192574,229.8966064,Windy,250.7559052
5.002939224,336.7219982,235.2794952,Cloudy,346.8644104
5.364749908,430.921089,235.5852966,Rainy,416.4179077
5.016181946,339.9849402,229.9429016,Sunny,331.9414978
5.970407963,615.0556308,235.6952972,Windy,583.4799194
6.655520916,868.1808449,241.4573975,Cloudy,776.5526733
6.600903988,846.0294095,242.7821045,Rainy,752.7263794
5.981378078,618.7314427,234.9844055,Rainy,589.0731201
7.424593925,1219.199787,235.1472931,Sunny,1109.128052
8.186451912,1638.508909,238.4790955,Sunny,1482.459961
8.27493,1691.147039,237.0332031,Windy,1523.430054
8.449202538,1796.76309,238.3323975,Cloudy,1572.170044
8.575974464,1875.047197,235.6414032,Rainy,1698.939941
8.282259941,1695.538777,236.4613953,Rainy,1616.845947
8.734552383,1974.4758,234.3547974,Sunny,1796.823975
